onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_orig	duration_orig	trial_type_orig
273.018792953	1.5	GO	LEFT	0.492529223998645	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	273	273.0188	1.5	go
275.142999666999	1.5	GO	RIGHT	0.410473239000567	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	275.125	275.143	1.5	go
277.881392076999	1.5	GO	LEFT	0.485916403000374	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	277.875	277.8814	1.5	go
281.266863891999	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0514877879995765	2	50	1	281.25	281.2669	1.5	succ_stop
284.386912747999	1.5	STOP	LEFT	0.392385737999575	LEFT	5	CorrectResponse	UnsuccessfulStop	0.152274148998913	1	150	-1	284.375	284.3869	1.5	unsucc_stop
286.394904720999	1.5	GO	RIGHT	0.519842276999043	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	286.375	286.3949	1.5	go
288.635415493	1.5	GO	RIGHT	0.514590435999708	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	288.625	288.6354	1.5	go
291.390313381	1.5	GO	RIGHT	0.464753037998889	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	291.375	291.3903	1.5	go
295.008092327	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.102344449000157	2	100	1	295	295.0081	1.5	succ_stop
297.265160765999	1.5	GO	RIGHT	0.62412102000053	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	297.25	297.2652	1.5	go
299.638439631999	1.5	GO	LEFT	0.892832988998634	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	299.625	299.6384	1.5	go
303.770775506999	1.5	GO	LEFT	0.839902707999499	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	303.75	303.7708	1.5	go
307.255971585999	1.5	GO	LEFT	0.450001318000432	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	307.25	307.256	1.5	go
310.143592912	1.5	GO	RIGHT	0.427364338000189	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	310.125	310.1436	1.5	go
